index,station_code,city_name,year,month,day,rainfall,period,quality,lat,long,station_name,month_name,date
15043,9151,Perth,2008,3,9,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,March,9-3-2008
15044,9151,Perth,2008,3,10,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,March,10-3-2008
15045,9151,Perth,2008,3,11,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,March,11-3-2008
15046,9151,Perth,2008,3,12,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,March,12-3-2008
15047,9151,Perth,2008,3,13,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,March,13-3-2008
15048,9151,Perth,2008,3,14,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,March,14-3-2008
15049,9151,Perth,2008,3,15,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,March,15-3-2008
15050,9151,Perth,2008,3,16,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,March,16-3-2008
15051,9151,Perth,2008,3,17,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,March,17-3-2008
15052,9151,Perth,2008,3,18,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,March,18-3-2008
15053,9151,Perth,2008,3,19,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,March,19-3-2008
15054,9151,Perth,2008,3,20,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,March,20-3-2008
15055,9151,Perth,2008,3,21,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,March,21-3-2008
15056,9151,Perth,2008,3,22,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,March,22-3-2008
15057,9151,Perth,2008,3,23,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,March,23-3-2008
15058,9151,Perth,2008,3,24,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,March,24-3-2008
15059,9151,Perth,2008,3,25,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,March,25-3-2008
15060,9151,Perth,2008,3,26,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,March,26-3-2008
15061,9151,Perth,2008,3,27,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,March,27-3-2008
15062,9151,Perth,2008,3,28,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,March,28-3-2008
15063,9151,Perth,2008,3,29,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,March,29-3-2008
15064,9151,Perth,2008,3,30,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,March,30-3-2008
15065,9151,Perth,2008,3,31,21.4,1.0,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,March,31-3-2008
15066,9151,Perth,2008,4,1,14.6,1.0,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,April,1-4-2008
15067,9151,Perth,2008,4,2,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,April,2-4-2008
15068,9151,Perth,2008,4,3,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,April,3-4-2008
15069,9151,Perth,2008,4,4,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,April,4-4-2008
15070,9151,Perth,2008,4,5,30.0,1.0,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,April,5-4-2008
15071,9151,Perth,2008,4,6,21.0,1.0,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,April,6-4-2008
15072,9151,Perth,2008,4,7,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,April,7-4-2008
15073,9151,Perth,2008,4,8,4.2,1.0,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,April,8-4-2008
15074,9151,Perth,2008,4,9,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,April,9-4-2008
15075,9151,Perth,2008,4,10,2.5,1.0,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,April,10-4-2008
15076,9151,Perth,2008,4,11,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,April,11-4-2008
15077,9151,Perth,2008,4,12,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,April,12-4-2008
15078,9151,Perth,2008,4,13,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,April,13-4-2008
15079,9151,Perth,2008,4,14,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,April,14-4-2008
15080,9151,Perth,2008,4,15,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,April,15-4-2008
15081,9151,Perth,2008,4,16,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,April,16-4-2008
15082,9151,Perth,2008,4,17,18.5,1.0,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,April,17-4-2008
15083,9151,Perth,2008,4,18,5.7,1.0,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,April,18-4-2008
15084,9151,Perth,2008,4,19,0.8,1.0,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,April,19-4-2008
15085,9151,Perth,2008,4,20,0.2,1.0,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,April,20-4-2008
15086,9151,Perth,2008,4,21,3.1,1.0,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,April,21-4-2008
15087,9151,Perth,2008,4,22,3.9,1.0,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,April,22-4-2008
15088,9151,Perth,2008,4,23,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,April,23-4-2008
15089,9151,Perth,2008,4,24,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,April,24-4-2008
15090,9151,Perth,2008,4,25,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,April,25-4-2008
15091,9151,Perth,2008,4,26,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,April,26-4-2008
15092,9151,Perth,2008,4,27,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,April,27-4-2008
15093,9151,Perth,2008,4,28,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,April,28-4-2008
15094,9151,Perth,2008,4,29,0.9,1.0,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,April,29-4-2008
15095,9151,Perth,2008,4,30,3.2,1.0,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,April,30-4-2008
15096,9151,Perth,2008,5,1,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,May,1-5-2008
15097,9151,Perth,2008,5,2,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,May,2-5-2008
15098,9151,Perth,2008,5,3,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,May,3-5-2008
15099,9151,Perth,2008,5,4,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,May,4-5-2008
15100,9151,Perth,2008,5,5,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,May,5-5-2008
15101,9151,Perth,2008,5,6,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,May,6-5-2008
15102,9151,Perth,2008,5,7,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,May,7-5-2008
15103,9151,Perth,2008,5,8,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,May,8-5-2008
15104,9151,Perth,2008,5,9,0.9,1.0,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,May,9-5-2008
15105,9151,Perth,2008,5,10,3.2,1.0,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,May,10-5-2008
15106,9151,Perth,2008,5,11,4.7,1.0,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,May,11-5-2008
15107,9151,Perth,2008,5,12,0.4,1.0,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,May,12-5-2008
15108,9151,Perth,2008,5,13,4.7,1.0,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,May,13-5-2008
15109,9151,Perth,2008,5,14,10.8,1.0,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,May,14-5-2008
15110,9151,Perth,2008,5,15,3.4,1.0,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,May,15-5-2008
15111,9151,Perth,2008,5,16,2.4,1.0,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,May,16-5-2008
15112,9151,Perth,2008,5,17,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,May,17-5-2008
15113,9151,Perth,2008,5,18,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,May,18-5-2008
15114,9151,Perth,2008,5,19,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,May,19-5-2008
15115,9151,Perth,2008,5,20,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,May,20-5-2008
15116,9151,Perth,2008,5,21,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,May,21-5-2008
15117,9151,Perth,2008,5,22,10.3,1.0,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,May,22-5-2008
15118,9151,Perth,2008,5,23,4.0,1.0,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,May,23-5-2008
15119,9151,Perth,2008,5,24,1.8,1.0,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,May,24-5-2008
15120,9151,Perth,2008,5,25,9.1,1.0,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,May,25-5-2008
15121,9151,Perth,2008,5,26,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,May,26-5-2008
15122,9151,Perth,2008,5,27,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,May,27-5-2008
15123,9151,Perth,2008,5,28,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,May,28-5-2008
15124,9151,Perth,2008,5,29,9.4,1.0,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,May,29-5-2008
15125,9151,Perth,2008,5,30,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,May,30-5-2008
15126,9151,Perth,2008,5,31,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,May,31-5-2008
15127,9151,Perth,2008,6,1,27.1,1.0,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,June,1-6-2008
15128,9151,Perth,2008,6,2,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,June,2-6-2008
15129,9151,Perth,2008,6,3,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,June,3-6-2008
15130,9151,Perth,2008,6,4,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,June,4-6-2008
15131,9151,Perth,2008,6,5,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,June,5-6-2008
15132,9151,Perth,2008,6,6,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,June,6-6-2008
15133,9151,Perth,2008,6,7,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,June,7-6-2008
15134,9151,Perth,2008,6,8,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,June,8-6-2008
15135,9151,Perth,2008,6,9,16.2,1.0,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,June,9-6-2008
15136,9151,Perth,2008,6,10,11.1,1.0,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,June,10-6-2008
15137,9151,Perth,2008,6,11,0.3,1.0,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,June,11-6-2008
15138,9151,Perth,2008,6,12,3.2,1.0,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,June,12-6-2008
15139,9151,Perth,2008,6,13,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,June,13-6-2008
15140,9151,Perth,2008,6,14,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,June,14-6-2008
15141,9151,Perth,2008,6,15,20.6,1.0,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,June,15-6-2008
15142,9151,Perth,2008,6,16,20.0,1.0,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,June,16-6-2008
15143,9151,Perth,2008,6,17,6.6,1.0,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,June,17-6-2008
15144,9151,Perth,2008,6,18,1.6,1.0,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,June,18-6-2008
15145,9151,Perth,2008,6,19,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,June,19-6-2008
15146,9151,Perth,2008,6,20,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,June,20-6-2008
15147,9151,Perth,2008,6,21,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,June,21-6-2008
15148,9151,Perth,2008,6,22,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,June,22-6-2008
15149,9151,Perth,2008,6,23,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,June,23-6-2008
15150,9151,Perth,2008,6,24,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,June,24-6-2008
15151,9151,Perth,2008,6,25,0.4,1.0,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,June,25-6-2008
